"","canonicalfull","authorship","year"
"1","Lucicutia flavicornis",NA,NA
"2","Posoqueria coriacea",NA,NA
"3","Polyalthia sumatrana",NA,NA
"4","Harbansus bowenae",NA,NA
"5","Calybites phasianipennella",NA,NA
"6","Pterostichus brittoni",NA,NA
"7","Pilumnus",NA,NA
"8","Embassichthys bathybius",NA,NA
"9","Corycaeus lautus",NA,NA
"10","Biflustra limosa",NA,NA
"11","Stolephorus",NA,NA
"12","Pyrola",NA,NA
"13","Linophrynidae",NA,NA
"14","Pomacentrus moluccensis",NA,NA
"15","Inegocia ochiaii",NA,NA
"16","Monas",NA,NA
"17","Echinogorgia",NA,NA
"18","Arabella mutans",NA,NA
"19","Decamastus gracilis",NA,NA
"20","Bacillaria paradoxa",NA,NA
"21","Chisocheton ceramicus",NA,NA
"22","Sepiidae",NA,NA
"23","Ampelisca coeca",NA,NA
"24","Lithophane baileyi",NA,NA
"25","Erichsonella filiformis",NA,NA
"26","Calidris bairdii",NA,NA
"27","Jania corniculata",NA,NA
"28","Ctenochaetus cyanocheilus",NA,NA
"29","Gypsonoma dealbana",NA,NA
"30","Bhesa paniculata",NA,NA
"31","Sargocentron bullsi",NA,NA
"32","Aspidophoroides olriki",NA,NA
"33","Euphorbia exstipulata",NA,NA
"34","Amphiodia planispina",NA,NA
"35","Bembras japonica",NA,NA
"36","Tetraselmis",NA,NA
"37","Actinostemon concepcionis",NA,NA
"38","Scina oedicarpus",NA,NA
"39","Etmopterus lucifer",NA,NA
"40","Apogonidae",NA,NA
"41","Astragalus convallarius",NA,NA
"42","Pereionotus testudo",NA,NA
"43","Maera othonis",NA,NA
"44","Cleome serrulata",NA,NA
"45","Bregmacerotidae",NA,NA
"46","Oithona nishida",NA,NA
"47","Pterocarpus marsupium",NA,NA
"48","Corbicula fluminea",NA,NA
"49","Phippsiella minima",NA,NA
"50","Zeiraphera griseana",NA,NA
"51","Tetraedron minimum",NA,NA
"52","Lepidotrigla guentheri",NA,NA
"53","Eupolymnia",NA,NA
"54","Stichopus",NA,NA
"55","Pseudophilyra woodmasoni",NA,NA
"56","Hyperlophus vittatus",NA,NA
"57","Carpacoce spermacocea",NA,NA
"58","Anthenea",NA,NA
"59","Sloanea meianthera",NA,NA
"60","Timo formosa",NA,NA
"61","Dissodactylus encopei",NA,NA
"62","Pantolabus radiatus",NA,NA
"63","Thalictrum alpinum",NA,NA
"64","Syllides",NA,NA
"65","Amathia alternata",NA,NA
"66","Chronocerastes otakauensis",NA,NA
"67","Numenius madagascariensis",NA,NA
"68","Trochosphaera solstitialis",NA,NA
"69","Syrrhoites",NA,NA
"70","Terebella pterochaeta",NA,NA
"71","Amphiblestrum flemingii",NA,NA
"72","Euaugaptilus diminutus",NA,NA
"73","Piper reticulatum",NA,NA
"74","Orbinia riseri",NA,NA
"75","Josephella marenzelleri",NA,NA
"76","Caenocara",NA,NA
"77","Halymenia durvillei",NA,NA
"78","Callopora rylandi",NA,NA
"79","Ypsolopha sylvella",NA,NA
"80","Aspalathus abietina",NA,NA
"81","Edmondia sesamoides",NA,NA
"82","Bryotropha senectella",NA,NA
"83","Neodoris chrysoderma",NA,NA
"84","Argyresthia fundella",NA,NA
"85","Camptocercus rectirostris",NA,NA
"86","Lethrinus xanthochilus",NA,NA
"87","Galathowenia oculata",NA,NA
"88","Aphanocapsa",NA,NA
"89","Thalassarche melanoph",NA,NA
"90","Psoloessa texana",NA,NA
"91","Calliurichthys",NA,NA
"92","Trigonolampa miriceps",NA,NA
"93","Batea",NA,NA
"94","Anadara secticostata",NA,NA
"95","Parelasmopus",NA,NA
"96","Thamnaconus striatus",NA,NA
"97","Gaidius brevispinus",NA,NA
"98","Entodesma pictum",NA,NA
"99","Agrotera nemoralis",NA,NA
"100","Decamastus",NA,NA
"101","Diacarnus",NA,NA
"102","Hologymnosus annulatus",NA,NA
"103","Dysidea",NA,NA
"104","Restio sarocladus",NA,NA
"105","Iliacantha intermedia",NA,NA
"106","Dictyota",NA,NA
"107","Dictyota acutiloba",NA,NA
"108","Cantherhines dumerilii",NA,NA
"109","Histeridae",NA,NA
"110","Calyptrosphaera",NA,NA
"111","Calathus melanocephalus",NA,NA
"112","Hydrolagus trolli",NA,NA
"113","Planorbella",NA,NA
"114","Loxodonta africana",NA,NA
"115","Equus burchelli",NA,NA
"116","Exostesia didomatia",NA,NA
"117","Sabellaria gracilis",NA,NA
"118","Tethygeneia pacifica",NA,NA
"119","Neorites kevedianus",NA,NA
"120","Notomastus",NA,NA
"121","Helianthus pauciflorus",NA,NA
"122","Cossura pygodactylata",NA,NA
"123","Boccardiella ligerica",NA,NA
"124","Syracosphaera",NA,NA
"125","Pleurobranchaea japonica",NA,NA
"126","Coscinarea exesa",NA,NA
"127","Mouriri glazioviana",NA,NA
"128","Clava leptostyla",NA,NA
"129","Saxicola torquatus",NA,NA
"130","Trachodes hispidus",NA,NA
"131","Aluterus monoceros",NA,NA
"132","Euaugaptilus hecticus",NA,NA
"133","Nepeta cataria",NA,NA
"134","Oradarea longimana",NA,NA
"135","Calamorhynchus",NA,NA
"136","Vesicomya",NA,NA
"137","Stictyosiphon soriferus",NA,NA
"138","Oceanapia",NA,NA
"139","Capitellides jonesi",NA,NA
"140","Pleurosigma normanii",NA,NA
"141","Spiophanes berkeleyorum",NA,NA
"142","Dimocarpus longan",NA,NA
"143","Monodonta turbinata",NA,NA
"144","Zanthoxylum ovalifolium",NA,NA
"145","Anaitides arenae",NA,NA
"146","Assiminea succinea",NA,NA
"147","Cladotanytarsus",NA,NA
"148","Metridia okhotensis",NA,NA
"149","Ircinia",NA,NA
"150","Cupania tenuivalvis",NA,NA
"151","Haliophasma geminata",NA,NA
"152","Anthophila fabriciana",NA,NA
"153","Pomacentridae",NA,NA
"154","Pseudomma",NA,NA
"155","Abludomelita obtusata",NA,NA
"156","Caulerpa cactoides",NA,NA
"157","Ruvettus pretiosus",NA,NA
"158","Reticulocythereis",NA,NA
"159","Echinodictyum asperum",NA,NA
"160","Eupithecia miserulata",NA,NA
"161","Rhus micophylla",NA,NA
"162","Zonotrichia albicollis",NA,NA
"163","Capitella",NA,NA
"164","Jenkinsia stolifera",NA,NA
"165","Valamugil cunnesius",NA,NA
"166","Chromis weberi",NA,NA
"167","Gambelia wislizenii",NA,NA
"168","Anguilla dieffenbachii",NA,NA
"169","Anisoptera laevis",NA,NA
"170","Leucolepas",NA,NA
"171","Vavaea amicorum",NA,NA
"172","Autolytus",NA,NA
"173","Cocconeis scutellum",NA,NA
"174","Hylobius abietis",NA,NA
"175","Lycenchelys verrillii",NA,NA
"176","Pinnotheres shoemakeri",NA,NA
"177","Enochrus bicolor",NA,NA
"178","Chlorophthalmus atlanticus",NA,NA
"179","Pterodroma rostrata",NA,NA
"180","Haloptilus longicornis",NA,NA
"181","Plantago major",NA,NA
"182","Chlorurus sordidus",NA,NA
"183","Henricia kapalae",NA,NA
"184","Delphineis spec",NA,NA
"185","Cypraea chinensis",NA,NA
"186","Perophora japonica",NA,NA
"187","Trichillia casaretti",NA,NA
"188","Chroococcaceae",NA,NA
"189","Hippodiplosia insculpta",NA,NA
"190","Saurida longimanus",NA,NA
"191","Tanytarsus",NA,NA
"192","Croton texensis",NA,NA
"193","Calyptolana hancocki",NA,NA
"194","Anaptychia fusca",NA,NA
"195","Daimio tethys",NA,NA
"196","Alcyonium carneum",NA,NA
"197","Austrolepidopa",NA,NA
"198","Macrophthalmus microfylacas",NA,NA
"199","Pimelodendron griffithianum",NA,NA
"200","Stenogramme interrupta",NA,NA
